Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate,Class
sufi/Rahat Fateh Ali Khan - O Re Piya.opus,1.337973861,0.349422118,0.485967846,0.247097042,7.539414467,0.085866236,1921.219239,2831.469741,20.81271486,3697.002823,-0.007469156,0.034638343,sufi
sufi/Javed Bashir - Aaj Ibaadat (From Bajirao Mastani).opus,1.224902229,0.372942443,0.430615612,0.231499421,11.27609352,1.92704024,3135.327306,3617.674298,20.43707697,6797.467752,0.00477548,0.059302565,sufi
sufi/Roop Kumar Rathod - Maula Mere Maula.opus,1.266444609,0.377670151,0.464746751,0.24357846,7.933848239,0.344753055,2072.996644,2683.227866,20.92733827,4324.556007,0.015876361,0.043101616,sufi
sufi/Kailash Kher - Allah Ke Bande.opus,1.581576763,0.384936414,0.472800354,0.246130501,5.306009012,-1.672038533,1864.819891,2364.398937,20.85809314,4074.923134,0.007690986,0.040501066,sufi
sufi/Rahat Fateh Ali Khan - Tere Mast Mast Do Nain.opus,1.417909743,0.452499689,0.496124258,0.252418873,9.537118609,3.019277197,2743.909081,3230.008805,19.74122302,6175.014629,0.007613472,0.051565664,sufi
sufi/Shankar-Ehsaan-Loy - Noor E Khuda.opus,1.143908169,0.354493454,0.491366278,0.246937412,6.866481194,-0.914971244,1968.529139,2824.62344,21.05700564,3910.98943,-0.008068029,0.036576323,sufi
sufi/AR Rahman - Gurus of Peace (From Vande Mataram).opus,1.46883906,0.430576859,0.476983111,0.246985263,5.475310356,-2.326006928,2839.170683,3461.857863,20.35834238,6410.204375,0.00209475,0.050815293,sufi
sufi/Faisal Rafi - Jiya Dhadak Dhadak Jaye.opus,1.624822042,0.378863006,0.471090678,0.258460958,1.878705348,-5.980387227,1707.84391,2139.284807,19.57263474,3389.664883,0.002926298,0.033071233,sufi
sufi/Kailash Kher - Saiyyan.opus,1.18401565,0.390166584,0.478423336,0.245800205,2.967797702,-3.828073019,1604.350766,1892.85932,20.51144281,3320.955739,0.019267428,0.036104764,sufi
sufi/Kavita Seth - Tidke Ghade.opus,1.331784197,0.418692764,0.445364478,0.237549249,9.927839934,4.014770154,2792.107071,3797.570525,21.55835877,6246.734604,0.007759398,0.042147163,sufi
sufi/Rahat Fateh Ali Khan - Zaroori Tha.opus,1.251752873,0.287299226,0.419019309,0.22849707,7.248412987,1.05257856,2102.280643,2783.591408,21.27905387,4167.891957,0.003014805,0.040396034,sufi
sufi/Bilal Khan - Khamoshi - From Khamoshi.opus,1.193836313,0.381673553,0.454622337,0.2382465,5.066541159,0.058572825,2755.931862,3411.829628,20.82627391,6284.799447,0.021141637,0.052863955,sufi
sufi/Rahat Fateh Ali Khan - Sanu Ek Pal Chain (From Raid).opus,1.378423026,0.388902107,0.51824494,0.251291121,13.54758805,3.549486728,2560.456865,3603.93637,20.41033558,5636.670301,0.008408357,0.041541763,sufi
sufi/Tochi Raina - Kabira.opus,1.129127309,0.369524823,0.453215208,0.238597352,2.12422572,-0.979317651,2497.54363,3662.191109,20.34909336,5367.031263,0.011842227,0.039139354,sufi
sufi/Qurat-Ul-Ain Baloch - Baliye (Laung Gawacha) [Coke Studio Season 9].opus,1.201060907,0.435568643,0.479716936,0.244489388,12.21288506,3.245883851,2989.811355,3450.82787,20.62462412,6572.98789,0.000286433,0.058474091,sufi
sufi/SalimSulaiman - Shukran Allah (From Kurbaan).opus,1.284504948,0.406417743,0.485602239,0.24654879,12.80712757,3.326611316,2238.020264,3276.440929,19.77243564,4888.484105,0.000172372,0.034602709,sufi
sufi/Javed Bashir - Man Kunto Maula.opus,1.250405773,0.436111364,0.51598437,0.254664757,19.59570182,5.130865562,2530.445237,3257.458788,20.13318143,5838.273255,0.01732382,0.041712079,sufi
sufi/Zeb Bangash - Aaja Re Moray Saiyaan - Coke Studio Season 9.opus,1.189291673,0.416704126,0.4573773,0.236758535,10.53495745,1.669788095,2805.020604,3549.718729,21.19519328,6705.741291,0.01494527,0.046477682,sufi
sufi/Amit Trivedi - Iktara.opus,1.237657257,0.42508517,0.448844455,0.236744141,8.876464778,1.41160217,2489.026188,3456.327609,20.54793189,5710.432744,0.014254363,0.036972673,sufi
sufi/Shafqat Amanat Ali - Allahu Akbar.opus,1.166496676,0.374232883,0.43195304,0.230901905,6.400304945,-0.666956656,2597.288316,3311.141668,21.36129882,6067.433687,-0.010843791,0.043807782,sufi
sufi/Akhil Sachdeva - Humsafar.opus,1.071819641,0.326621344,0.403555149,0.21332504,9.677200006,-4.199661636,2393.429958,2952.689507,19.5748976,5279.918612,0.013338688,0.04655379,sufi
sufi/Rahat Fateh Ali Khan - Jag Soona Soona Lage.opus,1.346181062,0.439521265,0.504745508,0.248932319,11.09950138,3.245155428,2698.221025,3185.253713,20.19532064,5518.978081,0.008339667,0.054369461,sufi
sufi/Jabbar Abbas - Dam Mast Qalandar.opus,1.308920378,0.45213351,0.496499701,0.248895712,9.009444041,2.270463384,3185.83347,3717.4141,20.13619484,7086.632114,-0.001297829,0.057230736,sufi
sufi/Atif Aslam - Jeena Jeena (From Badlapur).opus,1.225388501,0.380777253,0.401554562,0.223668383,10.18459206,2.090473689,2353.705177,3366.586633,21.63173593,5261.400315,-0.005168921,0.034128527,sufi
sufi/Shankar-Ehsaan-Loy - Sajdaa.opus,1.399651379,0.378327329,0.49020751,0.250432941,1.879172518,-6.00045944,2232.315835,2736.162203,20.93386997,4552.421677,0.011212058,0.046283055,sufi
sufi/Rahat Fateh Ali Khan - Rim Jhim.opus,1.351554165,0.332559729,0.460264087,0.243308373,3.61935872,-1.439876522,2621.639404,3750.381272,20.87182779,5531.376281,-0.011857619,0.04030449,sufi
sufi/Nusrat Fateh Ali Khan - Mere Rashke Qamar.opus,1.446530465,0.331850309,0.466859978,0.243438579,3.027020159,-3.928946193,2352.699389,2296.811259,21.20877275,4568.709727,0.000772453,0.059650588,sufi
sufi/Abida Parveen - Chaap Tilak.opus,1.251289344,0.36021629,0.482215922,0.245386382,4.312927743,-1.651233955,2629.579531,3016.77599,20.98242728,5560.25016,-0.002634554,0.054223301,sufi
sufi/KK - Tu Jo Mila.opus,1.132186734,0.36931357,0.509458639,0.250264304,10.56475676,0.497350463,1993.778747,3056.458656,19.71562934,3789.904466,0.025652034,0.034364241,sufi
sufi/Adnan Sami - Bhar Do Jholi Meri.opus,1.397046163,0.407503226,0.511421186,0.255339985,11.98304527,4.265525498,3008.148225,4004.294345,19.97563208,6959.246949,-0.004987339,0.047444877,sufi
sufi/Ali Sethi - Ranjish Hi Sahi.opus,1.232641624,0.455564598,0.418208815,0.231593616,5.704466741,0.068267211,2234.814413,3046.027102,21.52145351,4893.34346,0.00919484,0.037743026,sufi
sufi/Quratulain Balouch - Woh Humsafar.opus,1.166765793,0.310734431,0.430146676,0.229823663,6.718610627,0.415293195,1932.276338,2498.295077,21.89080384,3940.798737,-0.009208393,0.040552584,sufi
