Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate,Class
Garhwali/Narendra Singh Negi - Saun Bhadogi.opus,1.419618012,0.311824287,0.457627081,0.249297706,1.200850844,-10.13380675,1970.287189,2344.08056,21.56022769,3650.524694,-0.005265142,0.04514593,garhwali
Garhwali/Preetam Bhartwan - Rajuli Teri Sona Ki Latulyu Maa.opus,1.492999659,0.343563473,0.515380091,0.261461179,1.042125899,-4.009713522,3811.286733,4240.372694,20.97369779,8280.506361,-0.000774481,0.075423004,garhwali
Garhwali/Narender Singh Negi - Nach Meri Chhadcchheni Baand.opus,1.423527804,0.367882498,0.493234938,0.254240167,4.046753789,-0.863127468,3142.471385,3583.346734,21.71955404,7097.325134,-0.010399932,0.062806386,garhwali
Garhwali/Himanshu Rawat Music - Dehradun Ki Kaanchi.opus,1.376158896,0.443458547,0.562083226,0.261084723,14.49649434,1.159215983,2625.432924,3576.783636,20.16412521,5930.170663,-0.001875081,0.041140824,garhwali
Garhwali/Narendra Singh Negi - Jai Jai Bola.opus,1.4402215,0.359083982,0.515060937,0.25782598,1.476277874,-2.121181226,1543.859857,1916.056817,20.91639437,2894.034421,-0.012895925,0.038880261,garhwali
Garhwali/Narendra Singh Negi - Barkha He Barkha.opus,1.381108408,0.311634535,0.47556356,0.242387397,9.776969965,-2.045846117,2481.248445,2775.558326,19.98266315,4537.279306,-0.011877673,0.062920865,garhwali
Garhwali/Narendra Singh Negi - Teri Sainshan.opus,1.498163822,0.299229556,0.480432663,0.255831392,0.862786792,-5.294782211,1467.589278,2172.80285,21.38559748,2405.381569,-0.005865007,0.035573698,garhwali
Garhwali/Narender Singh Negi - Chakhuli Meri Fur E.opus,1.366259434,0.358699677,0.520297831,0.258446657,7.706399382,2.397553515,3581.383021,3921.11678,20.74569563,8138.999002,-0.011047804,0.076166754,garhwali
Garhwali/Preetam Bhartwan - Gailya Dhanuli.opus,1.483061297,0.291127518,0.466816988,0.248193094,0.829271229,-5.693616402,2457.703544,3164.167039,21.41700936,4773.249051,0.009311028,0.047494271,garhwali
Garhwali/Manglesh Dangwal - O Saiya Meri Kashimra.opus,1.404606058,0.411075268,0.586354485,0.27078575,4.925630816,1.381910283,2158.08364,2452.117772,20.25337482,3936.337301,-0.00557114,0.053812787,garhwali
Garhwali/Dinesh Uniyal - Jai Ho Ma Chandra Badni.opus,1.32945688,0.367718176,0.523526081,0.256767964,4.808521566,0.462741717,2716.686815,3254.737177,21.86763658,5972.90277,-0.01384144,0.055112577,garhwali
Garhwali/Dinesh Uniyal - Sailya Ji Tum Dilhi.opus,1.32945688,0.367718176,0.523526081,0.256767964,4.808521566,0.462741717,2716.686815,3254.737177,21.86763658,5972.90277,-0.01384144,0.055112577,garhwali
Garhwali/Narender Singh Negi - Chham Chham Ghunghuru Vaajala.opus,1.574473762,0.357104502,0.53495272,0.261931293,6.302090422,1.883630768,3731.634819,3522.795492,21.25348037,7738.952533,0.00542902,0.095038662,garhwali
Garhwali/Gajendra Rana - Leela Ghasyari.opus,1.494636742,0.434571928,0.584049117,0.271977507,17.27404455,4.117152894,3026.096652,3355.530712,19.1073673,6607.060195,0.001178104,0.064956292,garhwali
Garhwali/Narender Singh Negi - Kakh Harchi Hey Deedo.opus,1.323442207,0.275336087,0.433733719,0.232260876,16.41249393,-0.447205164,2698.053344,3061.847615,19.80239636,5489.54125,-0.009380967,0.056580364,garhwali
